tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.85,0.3,0.9,0.1,1.0,9296,0.5161003775260937,0.9988166953528399
0.85,0.3,0.9,0.15,1.0,9296,0.5161003775260937,0.9988166953528399
0.85,0.3,0.9,0.2,1.0,9296,0.5161003775260937,0.9988166953528399
0.9,0.3,0.9,0.1,1.0,9296,0.5161003775260937,0.9988166953528399
0.9,0.3,0.9,0.15,1.0,9296,0.5161003775260937,0.9988166953528399
0.9,0.3,0.9,0.2,1.0,9296,0.5161003775260937,0.9988166953528399
0.95,0.3,0.9,0.1,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.3,0.9,0.15,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.3,0.9,0.2,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.4,0.9,0.1,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.4,0.9,0.15,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.4,0.9,0.2,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.6,0.9,0.1,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.6,0.9,0.15,1.0,9141,0.5074950033311126,0.9987966305655837
0.95,0.6,0.9,0.2,1.0,9141,0.5074950033311126,0.9987966305655837
0.85,0.4,0.9,0.1,1.0,10662,0.5919387075283145,0.9971862689926843
0.85,0.4,0.9,0.15,1.0,10662,0.5919387075283145,0.9971862689926843
0.85,0.4,0.9,0.2,1.0,10662,0.5919387075283145,0.9971862689926843
0.9,0.4,0.9,0.1,1.0,10662,0.5919387075283145,0.9971862689926843
0.9,0.4,0.9,0.15,1.0,10662,0.5919387075283145,0.9971862689926843
0.9,0.4,0.9,0.2,1.0,10662,0.5919387075283145,0.9971862689926843
0.85,0.4,0.7,0.1,1.0,11276,0.6260270930490784,0.9971621142249024
0.85,0.4,0.7,0.15,1.0,11276,0.6260270930490784,0.9971621142249024
0.85,0.4,0.7,0.2,1.0,11276,0.6260270930490784,0.9971621142249024
0.9,0.4,0.7,0.1,1.0,11276,0.6260270930490784,0.9971621142249024
0.9,0.4,0.7,0.15,1.0,11276,0.6260270930490784,0.9971621142249024
0.9,0.4,0.7,0.2,1.0,11276,0.6260270930490784,0.9971621142249024
0.85,0.4,0.8,0.1,1.0,11266,0.6254719076171441,0.997159595242322
0.85,0.4,0.8,0.15,1.0,11266,0.6254719076171441,0.997159595242322
0.85,0.4,0.8,0.2,1.0,11266,0.6254719076171441,0.997159595242322
0.9,0.4,0.8,0.1,1.0,11266,0.6254719076171441,0.997159595242322
0.9,0.4,0.8,0.15,1.0,11266,0.6254719076171441,0.997159595242322
0.9,0.4,0.8,0.2,1.0,11266,0.6254719076171441,0.997159595242322
